Masculine,Feminine
abbess,abbot
able_seaman,able_seawoman
actress,actor
adulteress,adulterer
adventuress,adventurer
aircraftsman,aircraftswoman
aircrewman,aircrewwoman
alderman,alderwoman
altar_boy,altar_girl
ambassadress,ambassador
ancestress,ancestor
ape-man,ape-woman
archduchess,archduke
artilleryman,artillerywoman
assemblyman,assemblywoman
assemblywoman,assemblyman
au_pair_girl,au_pair_boy
aunt,uncle
authoress,author
aviatrix,aviator
b-girl,escort
bachelor,bachelorette
bachelor_girl,bachelor
backroom_boy,backroom_girl
baggageman,baggagewoman
bagman,bagwoman
ball_boy,ball_girl
ballerina,ballet dancer
bandsman,bandswoman
barmaid,barman
baron,baroness
baroness,baron
bat_boy,bat_girl
batman,batwoman
beadsman,beadswoman
beggarman,beggarwoman
beggarwoman,beggarman
bellboy,bellgirl
benefactress,benefactor
best_man,best_woman
big_sister,big brother
black_man,black_woman
black_woman,black_man
blood_brother,blood sister
boatman,boatwoman
bondman,bondwoman
bondman,bondwoman
bondsman,bondswoman
bondwoman,bondman
bondwoman,bondman
border_patrolman,border_patrolwoman
boy,girl
boyfriend,girlfriend
brahman,brahwoman
brakeman,brakewoman
bride,groom
bride,groom
bridesmaid,groomsman
broth_of_a_boy,broth_of_a_girl
brother,sister
brother,sister
brother,sister
brownie,cub scout
brunet,brunette
bullyboy,bullygirl
busboy,busgirl
bushman,bushwoman
bushman,bushwoman
businessman,businesswoman
businesswoman,businessman
cabin_boy,cabin_girl
call_girl,call_boy
cameraman,camerawoman
campfire_girl,campfire_boy
canary,singer
career_girl,career_boy
career_man,career_woman
cattleman,cattlewoman
cavalryman,cavalrywoman
cavalryman,cavalrywoman
caveman,cavewoman
chairman_of_the_board,chairwoman of the board
chapman,chapwoman
charwoman,charman
check_girl,check_boy
choirboy,choirgirl
chorus_girl,chorus_boy
city_man,city_woman
clansman,clanswoman
clergyman,clergywoman
co-ed,student
coachman,coachwoman
coalman,coalwoman
coastguardsman,coastguardswoman
coiffeur,coiffeuse
coiffeuse,coiffeur
comedienne,comedian
comedienne,comedian
comfort_woman,comfort_man
committeeman,committeewoman
committeewoman,committeeman
company_man,company_woman
concubine,consort
confidante,confidant
confidence_man,confidence_woman
congressman,congresswoman
cornishman,cornishwoman
cornishwoman,cornishman
councilman,councilwoman
councilwoman,councilman
count,countess
countryman,countrywoman
countryman,countrywoman
countrywoman,countryman
countrywoman,countryman
cover_girl,cover_boy
cowboy,cowgirl
cowboy,cowgirl
cowboy,cowgirl
cowgirl,cowboy
craftsman,craftswoman
craftsman,craftswoman
craftsman,craftswoman
crewman,crewwoman
crewman,crewwoman
crown_prince,crown_princess
crown_princess,heir apparent
czar,czarina
dad,mom
dairymaid,dairyman
dairyman,dairywoman
dairyman,dairywoman
dalesman,daleswoman
danseur,ballerina
daughter,son
daughter-in-law,son-in-law
dayboy,daygirl
daygirl,dayboy
deacon,deaconess
deaconess,deacon
deliveryman,deliverywoman
dirty_old_man,dirty_old_woman
divorcee,divorcee
doughboy,doughgirl
draftsman,draftswoman
draftsman,draftswoman
dragoman,dragowoman
drum_majorette,drum major
drum_majorette,baton twirler
duenna,chaperone
elder_statesman,elder_stateswoman
elder_statesman,elder_stateswoman
embroideress,embroiderer
emperor,empress
empress,emperor
enchantress,sorcerer
end_man,end_woman
end_man,end_woman
englishman,englishwoman
englishwoman,englishman
enlisted_man,enlisted_woman
enlisted_woman,enlisted_man
ent_man,ent_woman
everyman,everywoman
ex-boyfriend,ex-girlfriend
ex-husband,ex-wife
ex-wife,ex-husband
executrix,executor
family_man,family_woman
fancy_man,fancy_woman
farm_boy,farm_girl
farm_girl,farm_boy
farmerette,farmer
father,mother
father,mother
father-in-law,mother-in-law
female,male
female,male
female_aristocrat,male aristocrat
female_child,male_child
female_sibling,male sibling
ferryman,ferrywoman
fireman,firewoman
fireman,firefighter
first_baseman,first_basewoman
