,positive,neutral,negative
0,take,say,leave
1,get,make,become
2,know,go,kill
3,see,come,mean
4,lead,include,cause
5,add,use,happen
6,continue,call,accuse
7,run,find,fail
8,seek,tell,force
9,live,want,deny
10,keep,think,fall
11,send,try,cut
12,provide,ask,prevent
13,speak,hold,wound
14,write,help,criticize
15,win,believe,commit
16,grow,show,flee
17,serve,seem,block
18,announce,put,admit
19,start,remain,worry
20,build,report,violate
21,offer,meet,abandon
22,plan,appear,resign
23,require,move,divide
24,play,bring,blame
25,accept,look,spread
26,discuss,accord,delay
27,prepare,die,hurt
28,acknowledge,set,damage
29,buy,turn,injure
30,approve,receive,shake
31,enter,consider,convince
32,learn,pay,plead
33,publish,carry,concede
34,understand,return,halt
35,name,lose,confront
36,avoid,end,tear
37,remove,raise,sound
38,cite,describe,explode
39,confirm,spend,lack
40,watch,decide,execute
41,survive,talk,forget
42,travel,reach,dispute
43,negotiate,follow,sue
44,investigate,fight,separate
45,operate,create,stick
46,promise,increase,slow
47,present,hear,provoke
48,form,join,evacuate
49,address,stand,punish
50,exist,open,infect
51,wear,argue,expel
52,share,release,torture
53,replace,base,postpone
54,complete,produce,surrender
55,claim,refuse,quit
56,regard,pass,slip
57,back,arrive,endanger
58,adopt,issue,exceed
59,gain,let,disrupt
60,obtain,sell,complicate
61,step,represent,intensify
62,expand,protect,knock
63,remember,identify,drag
64,resolve,express,discourage
65,settle,draw,diminish
66,promote,sign,scatter
67,own,visit,freeze
68,link,arrest,harm
69,manage,note,dig
70,appoint,bear,contest
71,discover,intend,hate
72,test,declare,overlook
73,achieve,determine,tighten
74,earn,drive,conceal
75,succeed,order,tolerate
76,cross,stay,compromise
77,prompt,conduct,murder
78,monitor,urge,anger
79,marry,shoot,worsen
80,design,propose,upset
81,launch,sit,kick
82,invite,reject,shatter
83,hire,rise,crowd
84,emphasize,head,plague
85,interview,wait,scream
86,introduce,act,ruin
87,recommend,close,allege
88,contribute,deal,trouble
89,welcome,attend,chase
90,collect,fly,smoke
91,love,choose,intimidate
92,finish,establish,bother
93,realize,destroy,shock
94,praise,indicate,deprive
95,train,estimate,regret
96,mount,decline,drown
97,finance,maintain,disappoint
98,accompany,rule,smash
99,assure,occur,interrupt
100,recover,control,spill
101,free,elect,cease
102,clear,prove,divorce
103,hand,file,contradict
104,enjoy,recall,overwhelm
105,distribute,demand,exhaust
106,pledge,cover,hamper
107,insure,read,erode
108,solve,reflect,embarrass
109,sleep,walk,spark
110,celebrate,push,strain
111,arrange,hit,sever
112,retain,fear,underlie
113,record,withdraw,waste
114,wish,assert,drift
115,guarantee,treat,desert
116,sponsor,convict,disturb
117,portray,study,bite
118,embrace,place,alert
119,employ,press,pound
120,greet,organize,aggravate
121,assist,miss,decrease
122,surprise,fill,tire
123,consult,pull,exert
124,acquire,apply,besiege
125,underscore,dismiss,exaggerate
126,connect,pick,trigger
127,uphold,affect,resent
128,track,suspect,haunt
129,honor,point,hesitate
130,benefit,contain,breed
131,advocate,lie,
132,enable,lay,
133,thank,throw,
134,outline,limit,
135,nominate,save,
136,revive,catch,
137,combine,capture,
138,climb,grant,
139,dress,quote,
140,plant,compare,
141,invest,view,
142,ensure,favor,
143,smile,handle,
144,explore,challenge,
145,rest,burn,
146,pack,answer,
147,perceive,disclose,
148,overthrow,ban,
149,trust,persuade,
150,constitute,teach,
151,dispatch,count,
152,accomplish,review,
153,educate,engage,
154,donate,resume,
155,shape,extend,
156,analyze,pursue,
157,deserve,restore,
158,paint,direct,
159,rescue,mark,
160,enlist,demonstrate,
161,proclaim,cost,
162,exercise,eat,
163,supervise,beat,
164,notice,mention,
165,relax,endorse,
166,inspire,appeal,
167,motivate,perform,
168,house,hide,
169,translate,govern,
170,equip,assume,
171,cheer,eliminate,
172,yield,defeat,
173,imply,lift,
174,manufacture,suspend,
175,rent,suppose,
176,invoke,escape,
177,center,condemn,
178,verify,ignore,
179,implement,pose,
180,lend,reply,
181,regain,approach,
182,absorb,belong,
183,instruct,shut,
184,transport,define,
185,initiate,attract,
186,dedicate,care,
187,relieve,authorize,
188,possess,register,
189,spot,blow,
190,illustrate,state,
191,compile,occupy,
192,ratify,hang,
193,steer,detain,
194,envision,submit,
195,applaud,renew,
196,reaffirm,reveal,
197,preach,denounce,
198,shine,inform,
199,amend,advise,
200,inherit,list,
201,abolish,preserve,
202,score,last,
203,clarify,select,
204,boast,expose,
205,erect,found,
206,carve,attempt,
207,pave,relate,
208,construct,generate,
209,telephone,detect,
210,fulfill,measure,
211,admire,ease,
212,impress,check,
213,commemorate,assign,
214,prescribe,request,
215,compose,supply,
216,derive,enforce,
217,spin,proceed,
218,forgive,prefer,
219,swing,touch,
220,frame,cancel,
221,sail,transfer,
222,locate,secure,
223,mediate,reverse,
224,breathe,associate,
225,cultivate,shout,
226,bless,attribute,
227,enrich,range,
228,court,account,
229,reconcile,afford,
230,,march,
231,,stress,
232,,influence,
233,,bind,
234,,tie,
235,,await,
236,,coordinate,
237,,land,
238,,sweep,
239,,debate,
240,,advance,
241,,arise,
242,,draft,
243,,respect,
244,,assess,
245,,install,
246,,echo,
247,,overturn,
248,,ride,
249,,classify,
250,,roll,
251,,signal,
252,,weigh,
253,,date,
254,,exclude,
255,,undergo,
256,,broadcast,
257,,overcome,
258,,figure,
259,,please,
260,,award,
261,,interpret,
262,,imagine,
263,,display,
264,,lock,
265,,convert,
266,,assemble,
267,,stir,
268,,drink,
269,,fix,
270,,devote,
271,,disarm,
272,,pour,
273,,undertake,
274,,attach,
275,,characterize,
276,,post,
277,,split,
278,,recount,
279,,risk,
280,,crack,
281,,alter,
282,,stretch,
283,,fit,
284,,seal,
285,,doubt,
286,,designate,
287,,withhold,
288,,wave,
289,,store,
290,,ship,
291,,sustain,
292,,guide,
293,,notify,
294,,convene,
295,,enhance,
296,,lower,
297,,voice,
298,,devastate,
299,,administer,
300,,consist,
301,,circulate,
302,,entitle,
303,,regulate,
304,,anticipate,
305,,swear,
306,,encounter,
307,,specify,
308,,owe,
309,,print,
310,,switch,
311,,depart,
312,,inspect,
313,,revise,
314,,abuse,
315,,calculate,
316,,correct,
317,,hail,
318,,feature,
319,,confess,
320,,float,
321,,contact,
322,,highlight,
323,,reiterate,
324,,accelerate,
325,,adjust,
326,,deem,
327,,guess,
328,,depict,
329,,wrap,
330,,summon,
331,,evaluate,
332,,exploit,
333,,modify,
334,,transmit,
335,,process,
336,,evolve,
337,,exchange,
338,,chant,
339,,purchase,
340,,linger,
341,,lean,
342,,flood,
343,,devise,
344,,reassure,
345,,trace,
346,,uncover,
347,,suppress,
348,,deter,
349,,wipe,
350,,topple,
351,,veto,
352,,reserve,
353,,convey,
354,,laugh,
355,,compel,
356,,grab,
357,,balance,
358,,accommodate,
359,,communicate,
360,,label,
361,,wind,
362,,acquit,
363,,integrate,
364,,document,
365,,shed,
366,,slay,
367,,deepen,
368,,broaden,
369,,offend,
370,,plunge,
371,,distinguish,
372,,credit,
373,,affirm,
374,,confuse,
375,,inject,
376,,rank,
377,,mobilize,
378,,witness,
379,,borrow,
380,,single,
381,,widen,
382,,stabilize,
383,,intercept,
384,,stab,
385,,inflict,
386,,compensate,
387,,board,
388,,dictate,
389,,spur,
390,,rip,
391,,betray,
392,,precede,
393,,minimize,
394,,unfold,
395,,disperse,
396,,wake,
397,,ring,
398,,outlaw,
399,,render,
400,,avert,
401,,escort,
402,,tap,
403,,elaborate,
404,,renounce,
405,,contemplate,
406,,foster,
407,,beg,
408,,ignite,
409,,soften,
410,,dissolve,
411,,accumulate,
412,,incorporate,
413,,sway,
414,,assail,
415,,contract,
416,,term,
417,,stimulate,
418,,narrow,
419,,sense,
420,,restrain,
421,,confer,
422,,unleash,
423,,toss,
424,,bow,
425,,mandate,
426,,contrast,
427,,defer,
428,,presume,
429,,dry,
430,,oblige,
431,,obstruct,
432,,alarm,
433,,border,
434,,retrieve,
435,,position,
436,,seat,
437,,sacrifice,
438,,reward,
439,,warrant,
440,,dare,
441,,extract,
442,,insert,
443,,snap,
444,,shield,
445,,commission,
446,,tackle,
447,,arouse,
448,,calm,
